Date	Hour	Effectif
10/12/2023	7	0
10/12/2023	8	0
10/12/2023	9	0
10/12/2023	10	0
10/12/2023	11	0
10/12/2023	12	0
10/12/2023	13	0
10/12/2023	14	0
10/12/2023	15	0
10/12/2023	16	0
10/12/2023	17	0
10/12/2023	18	0
10/12/2023	19	0
10/12/2023	20	0
10/12/2023	21	0
10/12/2023	22	0
10/12/2023	23	0
11/12/2023	0	0
11/12/2023	1	0
11/12/2023	2	0
11/12/2023	3	0
11/12/2023	4	0
11/12/2023	5	0
11/12/2023	6	0
11/12/2023	7	0
11/12/2023	8	0
11/12/2023	9	0
11/12/2023	10	0
11/12/2023	11	0
11/12/2023	12	0
11/12/2023	13	0
11/12/2023	14	0
11/12/2023	15	0
11/12/2023	16	0
11/12/2023	17	0
11/12/2023	18	0
11/12/2023	19	1
11/12/2023	20	0
11/12/2023	21	1
11/12/2023	22	8
11/12/2023	23	9
12/12/2023	0	0
12/12/2023	1	0
12/12/2023	2	0
12/12/2023	3	0
12/12/2023	4	3
12/12/2023	5	0
12/12/2023	6	0
12/12/2023	7	0
12/12/2023	8	0
12/12/2023	9	0
12/12/2023	10	4
12/12/2023	11	0
12/12/2023	12	0
12/12/2023	13	0
12/12/2023	14	0
12/12/2023	15	1
12/12/2023	16	2
12/12/2023	17	0
12/12/2023	18	0
12/12/2023	19	0
12/12/2023	20	0
12/12/2023	21	3
12/12/2023	22	0
12/12/2023	23	1
13/12/2023	0	0
13/12/2023	1	0
13/12/2023	2	1
13/12/2023	3	0
13/12/2023	4	5
13/12/2023	5	0
13/12/2023	6	1
13/12/2023	7	0
13/12/2023	8	4
13/12/2023	9	0
13/12/2023	10	0
13/12/2023	11	0
13/12/2023	12	0
13/12/2023	13	8
13/12/2023	14	0
13/12/2023	15	9
13/12/2023	16	2
13/12/2023	17	10
13/12/2023	18	2
13/12/2023	19	6
13/12/2023	20	6
13/12/2023	21	0
13/12/2023	22	0
13/12/2023	23	0
14/12/2023	0	2
14/12/2023	1	5
14/12/2023	2	9
14/12/2023	3	2
14/12/2023	4	0
14/12/2023	5	0
14/12/2023	6	1
14/12/2023	7	0
14/12/2023	8	1
14/12/2023	9	0
14/12/2023	10	0
14/12/2023	11	0
14/12/2023	12	0
14/12/2023	13	0
14/12/2023	14	1
14/12/2023	15	0
14/12/2023	16	0
14/12/2023	17	29
14/12/2023	18	3
14/12/2023	19	19
14/12/2023	20	136
14/12/2023	21	108
14/12/2023	22	121
14/12/2023	23	89
15/12/2023	0	20
15/12/2023	1	3
15/12/2023	2	0
15/12/2023	3	0
15/12/2023	4	0
15/12/2023	5	0
15/12/2023	6	0
15/12/2023	7	3
15/12/2023	8	0
15/12/2023	9	0
15/12/2023	10	0
15/12/2023	11	0
15/12/2023	12	0
15/12/2023	13	6
15/12/2023	14	0
15/12/2023	15	0
15/12/2023	16	0
15/12/2023	17	36
15/12/2023	18	1
15/12/2023	19	6
15/12/2023	20	1
15/12/2023	21	4
15/12/2023	22	17
15/12/2023	23	8
16/12/2023	0	0
16/12/2023	1	0
16/12/2023	2	0
16/12/2023	3	0
16/12/2023	4	1
16/12/2023	5	0
16/12/2023	6	5
16/12/2023	7	0
16/12/2023	8	0
16/12/2023	9	0
16/12/2023	10	2
16/12/2023	11	0
16/12/2023	12	0
16/12/2023	13	0
16/12/2023	14	0
16/12/2023	15	0
16/12/2023	16	11
16/12/2023	17	6
16/12/2023	18	9
16/12/2023	19	2
16/12/2023	20	13
16/12/2023	21	1
16/12/2023	22	0
16/12/2023	23	0
17/12/2023	0	6
17/12/2023	1	0
17/12/2023	2	9
17/12/2023	3	1
17/12/2023	4	3
17/12/2023	5	10
17/12/2023	6	23
17/12/2023	7	42
17/12/2023	8	6
17/12/2023	9	7
17/12/2023	10	0
17/12/2023	11	2
17/12/2023	12	0
17/12/2023	13	0
17/12/2023	14	0
17/12/2023	15	0
17/12/2023	16	0
17/12/2023	17	3
17/12/2023	18	7
17/12/2023	19	6
17/12/2023	20	7
17/12/2023	21	2
17/12/2023	22	2
17/12/2023	23	5
18/12/2023	0	2
18/12/2023	1	3
18/12/2023	2	0
18/12/2023	3	0
18/12/2023	4	0
18/12/2023	5	1
18/12/2023	6	1
18/12/2023	7	1
18/12/2023	8	0
18/12/2023	9	0
18/12/2023	10	1
18/12/2023	11	0
18/12/2023	12	0
18/12/2023	13	0
18/12/2023	14	0
18/12/2023	15	0
18/12/2023	16	0
18/12/2023	17	6
18/12/2023	18	34
18/12/2023	19	17
18/12/2023	20	20
18/12/2023	21	2
18/12/2023	22	10
18/12/2023	23	3
19/12/2023	0	1
19/12/2023	1	3
19/12/2023	2	0
19/12/2023	3	2
19/12/2023	4	2
19/12/2023	5	0
19/12/2023	6	2
19/12/2023	7	3
19/12/2023	8	0
19/12/2023	9	0
19/12/2023	10	0
19/12/2023	11	0
19/12/2023	12	2
19/12/2023	13	0
19/12/2023	14	3
